worker_type,spouse_type,birth_yr,claim_age,age,year,earnings,tax,pv_ben_through_t_sched,delta_pv_ben_sched,net_tax_sched,pv_ben_through_t_pb,delta_pv_ben_pb,net_tax_pb
high,high,1940,65,61,2001,45991.92224,5702.99835776,1198819.1653253399,1710.6658946999814,0.10446403318212315,1198819.1653253399,1710.6658946999814,0.10446403318212315
high,high,1940,65,62,2002,44857.06941,5562.27660684,1199893.4061133037,1074.2407879638486,0.1108053613026287,1199893.4061133037,1074.2407879638486,0.1108053613026287
high,high,1940,65,63,2003,44386.62985,5503.9421014,1200747.4944522306,854.0883389269002,0.11296358272184519,1200747.4944522306,854.0883389269002,0.11296358272184519
high,high,1940,65,64,2004,44845.87590000001,5560.8886116,1201621.4672369603,873.9727847296745,0.1123416470895032,1201621.4672369603,873.9727847296745,0.1123416470895032
high,high,1945,65,21,1966,2187.69348,168.45239795999998,631476.7227960081,0,0.077,631476.7227960081,0,0.077
high,high,1945,65,22,1967,2846.53824,222.02998272,631476.7227960081,0,0.078,631476.7227960081,0,0.078
high,high,1945,65,23,1968,3889.08848,295.57072448,631476.7227960081,0,0.076,631476.7227960081,0,0.076
high,high,1945,65,24,1969,4915.39584,412.89325056,631476.7227960081,0,0.08399999999999999,631476.7227960081,0,0.08399999999999999
high,high,1945,65,25,1970,5815.0656,488.4655104,631476.7227960081,0,0.084,631476.7227960081,0,0.084
high,high,1945,65,26,1971,6711.4836399999995,617.4564948799999,631476.7227960081,0,0.092,631476.7227960081,0,0.092
high,high,1945,65,27,1972,7982.7222,734.4104424,631476.7227960081,0,0.092,631476.7227960081,0,0.092
high,high,1945,65,28,1973,9081.03168,880.8600729599999,631476.7227960081,0,0.09699999999999999,631476.7227960081,0,0.09699999999999999
high,high,1945,65,29,1974,10174.97292,1007.3223190800001,631476.7227960081,0,0.099,631476.7227960081,0,0.099
high,high,1945,65,30,1975,11470.49268,1135.57877532,857906.427053332,226429.70425732387,-1.0907615625811644,857906.427053332,226429.70425732387,-1.0907615625811644
high,high,1945,65,31,1976,12778.674799999999,1265.0888052,871331.1901880504,13424.763134718407,0.03118607261653517,871331.1901880504,13424.763134718407,0.03118607261653517
high,high,1945,65,32,1977,14033.496400000002,1389.3161436000003,885201.2842253937,13870.094037343282,0.030671629054366604,885201.2842253937,13870.094037343282,0.030671629054366604
high,high,1945,65,33,1978,15612.368370000002,1576.8492053700006,899476.0284318583,14274.744206464617,0.03260657440464148,899476.0284318583,14274.744206464617,0.03260657440464148
high,high,1945,65,34,1979,17437.29974,1771.6296535839997,914251.8801089759,14775.851677117636,0.032446709198047215,914251.8801089759,14775.851677117636,0.032446709198047215
high,high,1945,65,35,1980,19445.916839999998,1975.7051509439998,929350.5267168115,15098.646607835544,0.03126489547537997,929350.5267168115,15098.646607835544,0.03126489547537997
high,high,1945,65,36,1981,21816.5904,2334.3751728,944656.537616754,15306.010899942485,0.034994181646114335,944656.537616754,15306.010899942485,0.034994181646114335
high,high,1945,65,37,1982,23395.457400000003,2526.7093992000005,960266.1018371312,15609.564220377244,0.030756705564874764,960266.1018371312,15609.564220377244,0.030756705564874764
high,high,1945,65,38,1983,24900.918159999997,2689.29916128,976112.279790185,15846.177953053848,0.026222524727331782,976112.279790185,15846.177953053848,0.026222524727331782
high,high,1945,65,39,1984,26687.405779999997,3042.36425892,992111.5762593166,15999.296469131601,0.027406485416494233,992111.5762593166,15999.296469131601,0.027406485416494233
high,high,1945,65,40,1985,28144.05923,3208.42275222,1008269.658156335,16158.081897018361,0.022117316574643803,1008269.658156335,16158.081897018361,0.022117316574643803
high,high,1945,65,41,1986,29256.55398,3335.2471537200004,1024720.3150811798,16450.656924844836,0.016811600132100046,1024720.3150811798,16450.656924844836,0.016811600132100046
high,high,1945,65,42,1987,31361.920019999998,3575.25888228,1041221.1020742381,16500.786993058282,0.015420717339076217,1041221.1020742381,16500.786993058282,0.015420717339076217
